,Randomness,Tail-Free,Nucleus,Grammar/Style/Spelling,Readability Grade,Glue Index,Raw,Rand_cent,TFS_cent,Nuc_cent
11,0.65,1.0,0.9,88.0,6,48.0,"The corridor outside the dormitories was dark and quiet except for the soft whirring of power loaders from the engineering bays. The halls were dim, but she could still make out the shapes of the other colonists. They slept in small groups in their rooms, a few of them sitting up to watch her pass.

She walked briskly along the hall, nodding at those who acknowledged her presence. A few of the women gave her curious looks as they noticed her boots, but most kept their eyes focused on the floor. She was used to it.

The smell of fresh coffee tickled her nose as she reached the end of the hallway. Nora peered into the cafeteria. Several tables were filled with people eating breakfast, but no one seemed to notice her. She turned back around the corner and continued down the long passage.

Nora's destination was the mess hall. It was located at the far end of the colony and separated from the rest of the complex by a wide walkway. She made her way through the corridors and stopped in front of the entrance, which was marked with a large blue door. The door had an electronic lock that required a code to open.

She looked up at the door. There wasn't much time before she had to leave for work, so she punched in her four-digit code. As soon as the door slid open, Nora stepped inside and locked it behind her.

The interior of the mess hall was bright and airy. The walls were lined with a variety of potted plants and hanging baskets. A wide table dominated the center of the room, and several chairs and stools surrounded it. The floor was tiled in dark gray ceramic, with a scattering of colorful rugs over the surface. At the back of the room, a counter provided seating and food service.

A few colonists sat at the table, eating breakfast and talking quietly. Nora walked up to the counter and placed her order. While she waited, she watched the other patrons. Most of them kept their eyes on the food in front of them, but a couple of people glanced at her as they passed.

Her meal arrived just as she finished paying. She picked up a plate and loaded it with eggs, bacon, and toast. Her hunger didn't diminish after the first bite.",0.17806122448979622,0.29204081632653145,-0.08387755102040806
12,0.65,1.0,0.9,77.0,3,44.0,"Nora made her way past the dormitories to the communal dining hall. The dimly lit interior was filled with the sounds of groaning stomachs. A few colonists were already seated at long tables, eating their breakfasts. Nora headed straight for a table near the back of the room where she could see the kitchen.

She took a seat next to a young man who looked like he had just woken up. He was tall, dark haired, and handsome with strong features. Nora liked him immediately but didn't know his name.

""Morning,"" she greeted him.

He blinked bleary eyes in response. ""Uh... morning.""

""I'm Nora,"" she said.

His brow furrowed as he tried to place her face. ""Oh, right, I remember now. You're the engineer who fixed the communications system last night. Nice work, Nora. That was pretty tricky.""

Nora's mouth quirked upward in a half smile. ""Thanks. It wasn't too bad.""

""Yeah? I mean, it was good work.""

Nora nodded and sipped her coffee. The hot drink warmed her throat on its way down. She looked around the room. Most colonists were still asleep or eating breakfast.

""What do you think of this place?"" she asked.

The man shrugged. ""It's okay. Not my thing. Don't really see the appeal myself. But if you're going to live out here, then you'll have to put up with a lot of things.""

""That's why they pay us,"" Nora said. ""We get paid for putting up with stuff.""

He chuckled. ""Good point. I've been meaning to ask you something. How come you're the only engineer on duty? Shouldn't there be two?""

Nora glanced at him in surprise, but he was already digging into his scrambled eggs.

""There were a couple of other engineers working last night,"" Nora said slowly. ""But they both called in sick today.""

He gave her an amused look. ""Sick? Seriously?""

She nodded. ""They're probably just getting their sleep in. They'll be fine.""

""Oh, I don't know. I can see them falling asleep right now and never waking up again.""

""It'll be okay,"" she repeated, more forcefully this time. ""I'm sure they're not contagious.""",0.17806122448979622,0.29204081632653145,-0.08387755102040806
13,0.65,1.0,0.9,82.0,5,49.0,"The corridor leading to the dormitory's kitchen was dark except for the dim glow from a few emergency lights. She couldn't see much in the way of furniture, but the walls were lined with shelves of canned goods, dried fruits, and other staples. The hallways were utilitarian, though. A few doors on either side led to the communal bathrooms, and at the end of each hallway was a large mirror, where Nora could check her appearance for the day.

A faint sound echoed through the halls as she walked toward the cafeteria. Footsteps? Was someone coming? Nora paused, listening intently. No. Just the wind. It whistled around the corners of the corridors.

Nora turned down another corridor that led to the mess hall. It wasn't yet open, so the only illumination came from a few emergency lights. She made her way slowly along the narrow passage, holding onto the wall and peering into the gloom ahead of her with both hands outstretched like a blind person.

The sounds grew louder. Nora stopped, wondering what they could be. She listened again, but heard nothing more. Whatever it was, it sounded as if it was moving away. As if it was going to stop.

Nora continued forward, the tension in her stomach building. She couldn't see anything now, but the noises were getting closer. The hairs on the back of her neck prickled.

She reached the end of the corridor and peeked out into the bright, expansive cafeteria. Empty. But the noise had been close. Very close. Nora glanced down at her feet, where she saw a small scrap of material caught between two toes. She bent down to pick up the scrap of cloth.

It was a piece of fabric. A shirt sleeve. Torn and stained with dirt. Her gaze followed the length of the arm down until she realized that the arm wasn't attached to the body. It lay in the middle of the floor.

Nora dropped the sleeve and backed away from the corpse. She didn't want to look, but it was impossible not to.",0.17806122448979622,0.29204081632653145,-0.08387755102040806
14,0.65,1.0,0.9,81.0,6,54.0,"She passed through a series of hallways to reach the mess hall, where she paused to check the time. The kitchen should be open by now. She walked to the cafeteria and peered inside. A tall man in coveralls stood at one end of the long, rectangular room, leaning over a counter. He glanced up as she entered, then went back to work.

Nora wandered toward the far wall, trying to decide if she wanted cereal or eggs. When she got closer, she saw that there were no tables. Instead, the room was filled with small round plastic plates with blue and white patterns. The patterned plates looked like they'd been manufactured from sheets of thin, flat glass, but Nora knew better.

The plates were made of synthetic materials. They were sturdy, durable, and lightweight, but they couldn't hold food. And yet the colonists ate off them every day.

Nora stared down at the plates in confusion for a moment, then turned and left the cafeteria. She needed to find someone who could explain what was going on.

As Nora walked along a hallway, she noticed that the walls were lined with windows. The view out of each window was obscured by the metal frames, but she could see enough to tell she wasn't in a city or town.",0.17806122448979622,0.29204081632653145,-0.08387755102040806
15,0.65,1.0,0.9,84.0,4,41.0,"The colony's main corridor curved around a central hub where two staircases met. The hub itself had four support columns, each wide enough to carry multiple walkways across its surface. On the other side of the hub was a large open area filled with greenhouses. A long table stretched along one wall, piled high with food trays and drinks.

Nora walked over to the table, grabbed a tray, and took a seat at the end nearest the door. She'd never been in this part of the building before. It was different from the residential wing. More utilitarian, less colorful. Nora didn't know why. She just knew she liked it better here.

She poured herself a cup of coffee, then sat back to wait. Her stomach growled in anticipation as she surveyed the mess on her plate. Breakfast had already arrived. She picked up a fork and began eating.

""Oh, hello there.""

Nora jumped out of her skin. She looked down to see a young man standing behind her, smiling. He wore a plain blue shirt and tan pants with a belt. His hair was dark brown and his eyes were bright. Nora couldn't help but notice he had a nice smile. It made her feel safe.

""Um, hi,"" she said awkwardly. ""You startled me.""

He chuckled. ""I'm sorry. I didn't mean to scare you.""

""That's okay. You weren't too loud, anyway."" She glanced around. ""Where are your quarters?""

""Over here."" He gestured toward the opposite end of the hall.

Nora nodded and turned her attention back to breakfast. She continued eating while she walked toward the new arrival, who was now seated at the table in the middle of the room.",0.17806122448979622,0.29204081632653145,-0.08387755102040806
16,0.65,1.0,0.9,75.0,2,44.0,"The corridors were lined with rows of doors. Each door was marked by a nameplate indicating its occupant's duties. Nora paused at the end of the hall, looking down each row for her own room number. The first door she tried was locked.

""Hello?"" She knocked lightly on the door. ""Nora? You in there?""

No answer.

She sighed, then rapped harder. ""I know you're awake. I can hear you breathing.""

There was no reply.

Nora frowned, feeling a growing sense of unease. She glanced back down the corridor, but saw only empty space. No one else seemed to be around.

What if I'm not alone? What if it's just an intruder who got into my quarters while I slept? But what would they want with me?

With a quick glance over her shoulder, Nora ran to the next room on the left. Her heart beat faster in her chest as she knocked and called for someone inside.

Nothing happened.

Nora swallowed hard and pushed open the door. A large, dark-haired man stood behind a desk, leaning against it with arms folded across his broad chest. He wore a simple white shirt, a pair of black slacks, and a tie. His hair was cropped short and he had prominent cheekbones and a long nose.

""Nora,"" he said in greeting. ""You're late.""

Nora blinked, surprised by the calm tone in his voice.",0.17806122448979622,0.29204081632653145,-0.08387755102040806
17,0.65,1.0,0.9,78.0,4,47.0,"The corridors were empty, except for Sully at the end of the hall, where he stood talking to someone outside one of the dormitory doors. His back was turned, but she could tell by his stance that he was listening intently as the other person spoke.

Nora paused in front of him. ""Sully?""

""Morning, Nora."" He nodded to her and continued the conversation. She watched him for a moment, then walked past, nodding politely.

She stopped again at the top of the stairs leading up to the engineering bays. The door was closed, but she heard voices coming from inside. She knocked lightly on the heavy metal panel.

A deep voice answered, sounding tired. ""Yeah? What is it?""

""Hey, Sully. I'm going down to breakfast. You want anything?""

""No thanks.""

Nora paused in the hallway for a moment, watching him. His face was drawn and pale with fatigue. ""You look like you haven't slept well. Are you okay?""

He shrugged. ""I'll be fine."" He glanced at her, then quickly looked away. ""Thanks for asking, though.""

The rest of Nora's shift passed uneventfully. Her duties were routine, mostly maintenance and repair work. When she was finished, Nora went down to the cafeteria.

Nora sat alone in a corner table near the kitchen. She'd been here long enough that most of the other workers knew her by name, but she still felt an odd sense of anonymity. The colony was a small place, and she was one of only three women working there.

She picked at her food listlessly. She didn't feel hungry, even though it had been hours since the last meal.

A sudden hush fell over the dining hall. Everyone turned to look in the direction of the main concourse, where the sound came from.

Nora stood up and followed the rest of the people toward the center of the room. A tall man wearing a black jumpsuit strode down the middle aisle, his hands clasped behind him. He wore no helmet, and his dark hair was pulled back into a tight ponytail.

He stopped in front of the cafeteria door and waited for everyone to gather around him. ""All right, listen up,"" he said. ""I'm Captain Jacobo.""",0.17806122448979622,0.29204081632653145,-0.08387755102040806
20,0.7,1.0,0.9,79.0,4,46.0,"The hallway to the dormitories was dimly lit and cold as she walked toward the front doors at the end of the hall. At the door, Nora paused, taking a deep breath and trying to calm herself. She could hear voices from the other side of the door.

""You're sure about this?"" Sully asked in a low voice.

Nora knew that voice. It belonged to a tall man named Jack. He was one of the colony's best engineers. The two had worked together many times on jobs, but Nora hadn't spoken to him since he'd become the colony's second engineer.

""Yes,"" Jack replied. ""I'm sure. I've been thinking about it for months.""

Sully sighed. ""Well, if you say so. But be careful.""

The door swung open with a bang as Nora pushed through. A blast of frigid air slapped her in the face. She shivered in shock, trying to catch her balance and steady her breathing as she took in the scene before her.

Nora's eyes widened at the sight of the room full of people. In the middle of the group, a small figure with short dark hair stood awkwardly, leaning against the wall. Her heart skipped a beat as she saw the young woman's face. It was Amy, an old friend who lived in one of the dormitories.

Amy glanced up at Nora and mouthed the words, ""Help me"" .

Nora nodded and stepped forward, trying to move slowly and quietly. When she reached the center of the group, Nora tried to speak.

""What is this?""

She was answered only by a chorus of gasps from those around her. Jack stared at Nora, his mouth hanging open in shock.

""That's Amy,"" he said finally. ""She doesn't understand what's happening.""

Nora felt a chill ripple through her body. She looked back at the girl. Her eyes were wide and glassy, but she made no sound. She wore clothes just like Nora did.",0.22806122448979615,0.29204081632653145,-0.08387755102040806
21,0.7,1.0,0.9,82.0,4,48.0,"A narrow hallway led directly to the cafeteria. The passage was dimly lit by recessed lights. A few colonists walked past her on their way to breakfast, but she ignored them and kept moving. She made it halfway to the dining hall when the door slid open and a man entered. He wore heavy black leather gloves, thick boots, and what looked like body armor over his clothes.

Nora hesitated. This was the first time someone had ever worn that much protective gear in the colony. She knew it wasn't necessary. But even if he hadn't been armed, there were other reasons why this guy might not be welcome.

He stopped at the end of the corridor to look around. His eyes darted left, right, up, down, and back again. Then he turned and went through the doorway.

Nora waited a moment longer for him to leave before following. She caught a glimpse of his face in the cafeteria's mirror as he passed behind her. It was dark, but she thought the stranger looked familiar.

She found her usual seat and sat down, waiting for breakfast to arrive. There was something about him. She could feel it. Something wasn't quite right.

The food arrived, and Nora ate mechanically, staring off into space. After a few bites, her thoughts drifted to the strange man who had come in. She remembered his eyes. They'd seemed so bright, yet cold and emotionless. That wasn't like anyone she knew. And that was only one of many things wrong with him.

Nora finished eating, shoved the tray away, and stood up from the table. She stretched before heading toward the restroom. On her way, she passed the corridor leading to the weapons shop. The door slid open, and a second man entered wearing heavy boots and body armor. He looked over at Nora as she passed. His eyes were a startling gray color, almost silver in the dim light.

He didn't say anything. Didn't acknowledge her presence. He just kept walking.

Nora paused outside the bathroom. She felt a chill run through her blood.

The hairs on the back of her neck prickled.

She turned and ran.",0.22806122448979615,0.29204081632653145,-0.08387755102040806
22,0.7,1.0,0.9,88.0,5,43.0,"The hallways were empty except for a few colonists already up and about. Nora walked to the common area where she found a handful of people eating cereal and drinking coffee. She joined them at their table, accepting a mug from the server.

""Good morning,"" said the server. ""I'm Lianna.""

""Hi, Lianna. I'm Nora.""

Lianna smiled warmly. ""It's nice to meet you, Nora. Would you like anything else?""

""No thanks. That'll do fine.""

She took a sip of her coffee while Nora waited for the server to leave. After watching Nora for a moment, Lianna spoke again.

""You're the only engineer, right?""

Nora nodded. ""Yeah. I'm the best. The Company sent me here with this colony because they want me to fix whatever's broken so we can get back home. They pay us pretty well, but it doesn't cover everything. We have a lot of expenses on our own.""

""What kind of stuff breaks down around here? And how often does it happen?""

""Most of the systems are older than my grandparents. We use a lot of old machinery and technology, which isn't exactly cutting edge anymore. Our air filters don't work very well, for example. There aren't any real maintenance crews to keep things running smoothly.""

Lianna paused in her duties, giving Nora a sympathetic look. ""I'm sorry about the filter thing. It must be hard on you guys.""

Nora shrugged with a forced smile. ""It's okay. Nobody likes an inefficient system. But I'd rather deal with the bugs than the drones. Those things come out of nowhere sometimes. They just pop up from inside walls or under floors. They grab people, drag them off into their nests and kill them.""

Lianna grimaced sympathetically. ""That sounds awful! What do they eat?""

""People mostly. Sometimes other colonists. They even eat each other sometimes, if there's not enough food for everyone.""

Nora shuddered at the thought of a hive full of writhing bodies. She took another sip of coffee and watched Lianna finish her rounds, then turn to walk away.

Nora leaned back in her chair with a sigh. ""They're creepy. But they make good fertilizer. The Company is so pleased with us for growing so much food.""",0.22806122448979615,0.29204081632653145,-0.08387755102040806
